,price,Price_sqft,locality,Division,region,latitude,longitude,area,Status,neworold,parking,Bedrooms,Bathrooms,Balcony,Lift,Furnished_status,type_of_building
44,9500000,7902.069,Patel Nagar West,New Delhi - West,core,28.652429,77.1643181,1200.0,Under Construction,Resale,0,2,2,2,0,Semi-Furnished,Flat
45,10500000,7902.069,Sector 65,Gurgaon,west,28.3978564,77.07393158,1020.0,Under Construction,Resale,0,2,2,2,0,Semi-Furnished,Flat
46,7500000,4983.389,"G 033., Sector 108",Gurgaon,west,28.512136,76.986899,1505.0,Under Construction,Resale,1,2,2,2,2,Semi-Furnished,Flat
47,4800000,3896.104,"Ghaziabad, Vivekanand Nagar",Ghaziabad,east,28.652807235717773,77.45092010498047,1232.0,Under Construction,Resale,0,6,3,2,0,Unfurnished,Flat
49,8500000,6296.296,Vaishali,Ghaziabad,east,28.647938,77.340697,1350.0,Under Construction,Resale,0,3,3,0,0,Semi-Furnished,Flat
50,4700000,4331.797,"Indirapuram Ghaziabad, Indirapuram",Ghaziabad,east,28.646509,77.3814882767311,1085.0,Under Construction,Resale,0,2,2,2,0,Semi-Furnished,Flat
51,8500000,4748.603,Sector 108,Gurgaon,west,28.512136,76.986899,1790.0,Under Construction,Resale,0,3,3,0,0,Semi-Furnished,Flat
52,10000000,5920.663,"Sector 104, Gurgaon, Sector 104",Gurgaon,west,28.487018,76.998009,1689.0,Under Construction,New Property,1,3,3,4,3,Semi-Furnished,Flat
53,12820000,7465.782,"Sector 67, Gurgaon, Sector 67",Gurgaon,west,28.391644,77.06486457,2050.0,Under Construction,Resale,2,3,3,3,2,Semi-Furnished,Flat
54,12400000,7515.152,"2nd floor metro view apartment sector 13 B dwarka, Sector 13 Dwarka",New Delhi - Dwarka,north,28.6016822982437,77.0319327881991,1650.0,Under Construction,Resale,2,3,2,2,0,Semi-Furnished,Flat
55,7700000,4569.733,"Sector 137, Noida, Sector 137",Noida,east,28.5092080113141,77.4066255380327,1685.0,Under Construction,Resale,1,3,4,4,2,Unfurnished,Flat
56,6000000,5714.286,Vaishali,Ghaziabad,east,28.648794,77.3425322478785,1050.0,Under Construction,Resale,0,2,2,2,0,Semi-Furnished,Flat
57,12500000,7902.069,"sector 6 dwarka, Sector 6 Dwarka",New Delhi - Dwarka,south,28.59344,77.065951,1300.0,Under Construction,Resale,2,2,2,2,2,Semi-Furnished,Flat
58,6380000,5452.991,"Chhatarpur New Delhi, Chhattarpur",New Delhi - South,south,28.495893478393555,77.18599700927734,1170.0,Under Construction,New Property,1,3,2,1,1,Semi-Furnished,Flat
59,7400000,5803.922,"Sohna Road, Gurgaon, Sector 33",Gurgaon,west,28.28709602355957,77.06906127929688,1275.0,Under Construction,New Property,1,2,2,2,2,Semi-Furnished,Flat
60,8400000,4444.444,"Sector 84, Gurugram, Haryana, Sihi",Gurgaon,west,28.410466,76.962531,1890.0,Under Construction,Resale,1,3,3,4,2,Semi-Furnished,Flat
61,6400000,4398.625,"Sector 76, Noida, Sector 76",Noida,east,28.570142,77.3862730013034,1455.0,Under Construction,Resale,1,3,2,3,2,Semi-Furnished,Individual House
62,12820000,7902.069,Dwarka,New Delhi - Dwarka,south,28.5934318343359,77.0442727572328,1768.0,Under Construction,Resale,2,3,2,0,2,Semi-Furnished,Flat
63,4300000,3320.463,"sector 1 greater noida west, Greater Noida West",Greater Noida,east,28.566914,77.436434,1295.0,Under Construction,Resale,2,2,2,4,0,Semi-Furnished,Individual House
64,12820000,6800.0,"Ibiza Town, Suraj Kund Road, Faridabad, Suraj Kund",Faridabad,south,28.4818021,77.2200217,2050.0,Under Construction,Resale,1,4,5,3,2,Semi-Furnished,Flat
65,10500000,5675.676,"Plot No:1, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303, Sector 45",Noida,east,28.548787,77.346032,1850.0,Under Construction,Resale,2,3,4,2,3,Semi-Furnished,Flat
66,10800000,5493.388,"Sector 32 Sohna Gurgaon Haryana, Sohna",Gurgaon,west,28.247592,77.069185,1966.0,Under Construction,Resale,1,2,2,1,0,Semi-Furnished,Flat
67,5500000,4074.074,Indirapuram,Ghaziabad,east,28.6493479,77.3696259,1350.0,Under Construction,Resale,0,2,2,0,0,Furnished,Flat
68,4320000,4153.846,"Sector 137, Noida, Sector 137",Noida,east,28.509118,77.413416,1040.0,Under Construction,New Property,1,2,2,3,2,Semi-Furnished,Flat
69,3000000,3750.0,"Sai Enclave niti khand indirapuram, Niti Khand-Indirapuram",Ghaziabad,east,28.6452824,77.3621025,800.0,Under Construction,Resale,1,2,2,1,0,Semi-Furnished,Flat
70,3500000,3684.211,"Greater Noida, Greater Noida West",Greater Noida,east,28.579593,77.445197,950.0,Under Construction,Resale,0,2,2,3,3,Semi-Furnished,Flat
71,12820000,7902.069,"F-54., South City 2",Gurgaon,west,28.4178669,77.0512457,2000.0,Under Construction,Resale,2,4,4,3,0,Semi-Furnished,Flat
72,3000000,3333.333,"NH 24 Ghaziabad, NH 24",Ghaziabad,east,28.685449,77.5092258,900.0,Under Construction,Resale,1,2,2,3,2,Semi-Furnished,Individual House
73,3300000,3437.5,"Park Lotus Surajpur Greater Noida, Surajpur",Greater Noida,east,28.5128413669417,77.4895533166212,960.0,Under Construction,Resale,0,2,2,1,1,Semi-Furnished,Flat
74,8200000,5981.036,"Gurgaon - Faridabad Road, Gurgaon, Gwal Pahari",Gurgaon - South,south,28.433653,77.152919,1371.0,Under Construction,New Property,2,2,2,3,2,Semi-Furnished,Flat
75,6000000,3428.571,"Unitech Horizon Greater Noida, PI 2",Greater Noida,east,28.475274,77.545978,1750.0,Under Construction,Resale,2,3,3,1,2,Semi-Furnished,Flat
76,4100000,3156.274,"NH 24 Ghaziabad, NH 24",Ghaziabad,east,28.519997,77.376873,1299.0,Under Construction,Resale,1,3,2,4,2,Semi-Furnished,Flat
77,5200000,3809.524,"plot no -02 E sector 12  Graeter noida west, Greater Noida West",Noida,east,28.60595893859864,77.44451141357422,1365.0,Under Construction,Resale,2,3,2,3,2,Furnished,Flat
78,12820000,7500.0,"godrej golf links, the crest, Pari Chowk",Greater Noida,east,28.4655907,77.5114027,2050.0,Under Construction,Resale,0,4,5,4,0,Unfurnished,Flat
79,2650000,3173.653,"Sector 4, Greater Noida, Greater Noida West",Greater Noida,east,28.609898,77.436343,835.0,Under Construction,Resale,1,2,2,2,0,Unfurnished,Flat
80,10000000,7902.069,Paschim Vihar,New Delhi - West,north,28.6677244,77.0979515,1000.0,Under Construction,Resale,0,2,2,0,0,Unfurnished,Individual House
81,4500000,4500.0,"A33 Shishram park Uttam Nagar, Uttam Nagar East",New Delhi - West,north,28.63472366333008,77.04911041259766,1000.0,Under Construction,Resale,1,3,2,1,0,Semi-Furnished,Flat
82,6900000,5476.19,"B1 1103 The Romano sector 118 Noida, Sector 118",Noida,east,28.58548927307129,77.3993148803711,1260.0,Under Construction,Resale,1,2,2,3,2,Unfurnished,Flat
83,12820000,5567.01,Sector 99,Gurgaon,west,28.44456311,76.9550119,2050.0,Under Construction,Resale,0,4,4,0,0,Semi-Furnished,Flat
84,4500000,3756.26,"Pratap vihar Ghaziabad, Pratap Vihar",Ghaziabad,east,28.633363723754883,77.43121337890625,1198.0,Under Construction,Resale,0,3,2,1,0,Furnished,Flat
85,12820000,7902.069,"Sultanpur, New Delhi, Sultanpur",New Delhi - South,south,28.4969141,77.1652546,2050.0,Under Construction,Resale,2,3,3,2,1,Semi-Furnished,Flat
86,11000000,6310.958,Sector 71,Gurgaon,west,28.419032,77.028272,1743.0,Under Construction,New Property,1,3,3,2,0,Semi-Furnished,Individual House
87,3200000,4923.077,"Gali no 4, behind Aman bakery, Mahavir Enclave Part 1",New Delhi - Dwarka,south,28.59803581237793,77.07652282714844,650.0,Under Construction,Resale,0,2,2,1,0,Unfurnished,Flat
88,3200000,3926.38,"greater noida, Jalvayu Vihar",Greater Noida,east,28.446343,77.515305,815.0,Under Construction,Resale,0,2,2,0,0,Semi-Furnished,Flat
89,3400000,3238.095,Bhopura,Ghaziabad,east,28.7005505,77.3286995,1050.0,Under Construction,Resale,0,2,2,0,0,Unfurnished,Flat
90,11100000,5285.714,Ashoka Enclave Part 1,Faridabad,south,28.468477249145508,77.31389617919922,2050.0,Under Construction,Resale,0,4,3,2,0,Furnished,Flat
91,3500000,3888.889,Sector 5 Rajendra Nagar,Ghaziabad,east,28.6809994,77.356998,900.0,Under Construction,Resale,0,2,2,1,0,Unfurnished,Flat
92,12500000,6808.279,"Unitech Fresco Nirvana Country Sector 50, Gurgaon, Nirvana Country",Gurgaon,west,28.414627,77.060127,1836.0,Under Construction,Resale,2,3,3,3,3,Semi-Furnished,Flat
93,8500000,5685.619,"Plot No. GH 03/A, Sector 143, Noida, Uttar Pradesh 201306, Sector 143A",Noida,east,28.502597,77.428742,1495.0,Under Construction,Resale,0,3,2,0,0,Semi-Furnished,Flat
95,12820000,7902.069,"Golf Course Road, Gurgaon, Golf Course Road",Gurgaon,west,28.4361825275276,77.1043058418003,2050.0,Under Construction,Resale,3,5,6,2,3,Semi-Furnished,Flat
96,9000000,7200.0,"panchwati appartments, Vikaspuri",New Delhi - West,north,28.6401587513384,77.066265900795,1250.0,Under Construction,Resale,0,2,2,2,0,Semi-Furnished,Individual House
97,12820000,5600.0,"B-31/S-1, B- Block, Dilshad Garden, Shahdara, Delhi-110095, Dilshad Garden",New Delhi - East,core,28.68651580810547,77.29942321777344,2050.0,Under Construction,Resale,2,3,2,1,0,Semi-Furnished,Flat
98,8900000,4903.581,Sector 37D,Gurgaon,west,28.45251307,76.97627035,1815.0,Under Construction,Resale,0,3,3,0,0,Semi-Furnished,Flat
99,3200000,3073.967,Raj Nagar Extension,Ghaziabad,east,28.701837981083,77.423206716491,1041.0,Under Construction,Resale,0,2,2,3,0,Semi-Furnished,Flat
100,12820000,7500.0,"S Block, Sector 49",Gurgaon,west,28.412109,77.049522,2000.0,Under Construction,Resale,2,4,4,3,0,Semi-Furnished,Flat
101,9200000,4693.878,"Sector-82, Mapsko Casa Bella, Sector 82",Gurgaon,west,28.393665,76.962842,1960.0,Under Construction,Resale,123,3,3,3,2,Semi-Furnished,Individual House
102,11500000,5858.38,"sector 84, Sihi",Gurgaon,west,28.406752,76.96474017,1963.0,Under Construction,Resale,2,3,3,3,2,Semi-Furnished,Flat
103,6000000,4815.409,"Sector 119, Noida -201301, Sector 119",Noida,east,28.5863287948209,77.4010620206905,1246.0,Under Construction,Resale,1,2,2,3,2,Semi-Furnished,Individual House
104,3900000,3594.47,"omicran near Parichowk supertech Czar, Omicron",Greater Noida,east,28.473679,77.506258,1085.0,Under Construction,Resale,0,2,2,3,3,Semi-Furnished,Flat
105,3600000,3618.09,"Ajanra le Garden, sector 16, greater noida, dist. Gautam budh nagar. U.P., Greater Noida West",Greater Noida,east,28.606945,77.455578568448,995.0,Under Construction,Resale,0,2,2,3,0,Semi-Furnished,Individual House
106,12820000,7902.069,"Sector 27, Greater Noida, Noida, Uttar Pradesh, Sector 27",Greater Noida,east,28.470149,77.535673,2050.0,Under Construction,Resale,3,5,5,3,0,Semi-Furnished,Flat
107,7500000,5952.381,Sector 77,Gurgaon,west,28.3824895,76.9823169,1260.0,Under Construction,New Property,1,2,2,0,2,Semi-Furnished,Individual House
108,12820000,7902.069,"Eastend Aptts, Mayur Vihar 1",New Delhi - East,east,28.5884566,77.304787,1700.0,Under Construction,Resale,1,4,3,1,2,Semi-Furnished,Individual House
109,12820000,7902.069,Sector 10 Dwarka,New Delhi - Dwarka,south,28.5858422747995,77.0606247868441,2025.0,Under Construction,Resale,2,3,2,4,2,Semi-Furnished,Flat
110,12820000,7902.069,Moti Nagar,New Delhi - West,core,28.66662979125977,77.1522216796875,1600.0,Under Construction,Resale,2,3,2,2,3,Semi-Furnished,Flat
111,5500000,4782.609,"sector 12 gurgaon, Sector 12",Gurgaon,west,28.497455596923828,77.02713775634766,1150.0,Under Construction,Resale,1,3,2,1,1,Semi-Furnished,Flat
112,12820000,5652.174,"Kumar Excellency plaza, Sector 11 Vasundhara",Ghaziabad,east,28.655845642089844,77.36822509765625,2050.0,Under Construction,Resale,0,4,4,3,0,Unfurnished,Flat
113,9900000,5625.0,"Sector 90, Gurugram, Haryana 122505, Sector 90",Gurgaon,west,28.407361,76.93426176,1760.0,Under Construction,Resale,1,3,2,4,3,Semi-Furnished,Flat
114,7000000,7902.069,"Sanjiv Malhotra D-2, 208/209, Ground Floor Sector-11, Rohin, New Delhi- 110085, Sector 11 Rohini",New Delhi - Rohini,core,28.7295315,77.106949,559.0,Under Construction,Resale,0,2,2,0,0,Unfurnished,Individual House
115,5150000,4173.42,"Sector 143, Noida, Sector 143",Noida,east,28.500621,77.424203,1234.0,Under Construction,Resale,0,2,2,2,0,Semi-Furnished,Flat
116,7500000,7902.069,"Paschim Vihar, New Delhi, Paschim Vihar",New Delhi - West,north,28.6628739905415,77.0977670161547,700.0,Under Construction,Resale,1,2,2,0,0,Semi-Furnished,Flat
117,2630000,3506.667,"415  81High street mall sector 81 not pull greater Faridabad, Sector 81",Faridabad,south,28.39244079589844,77.34424591064453,750.0,Under Construction,New Property,0,3,2,2,0,Unfurnished,Flat
118,4600000,4600.0,Uttam Nagar West,New Delhi - West,north,28.618239,77.054361,1000.0,Under Construction,New Property,1,3,2,0,1,Semi-Furnished,Flat
119,7500000,5395.683,"G Tower, Amrapali Sapphire Phase I, Sector 45",Noida,east,28.548787,77.346032,1390.0,Under Construction,Resale,1,3,2,3,2,Semi-Furnished,Flat
120,7000000,5279.035,"Sector 69, Gurgaon, Sector 69",Gurgaon,west,28.397731,77.036526,1326.0,Under Construction,Resale,1,3,3,3,2,Semi-Furnished,Flat
121,5800000,4566.929,Sector 129,Noida,east,28.524543,77.364765,1270.0,Under Construction,Resale,0,3,3,0,0,Semi-Furnished,Flat
122,5200000,4425.532,Sector 143,Noida,east,28.500621,77.424203,1175.0,Under Construction,Resale,0,2,2,0,0,Semi-Furnished,Individual House
123,12820000,6924.101,"Sector 128 Noida, Sector 128",Noida,east,28.5279804259531,77.354191,2050.0,Under Construction,New Property,2,4,6,2,5,Semi-Furnished,Flat
124,12820000,7902.069,"DLF Capital Greens Phase 1, Moti Nagar",New Delhi - West,core,28.666059,77.150134,1650.0,Under Construction,Resale,1,3,3,4,0,Semi-Furnished,Flat
125,3200000,4000.0,"895., Mehrauli",New Delhi - South,core,28.5201861,77.179158,800.0,Under Construction,New Property,0,2,2,1,0,Unfurnished,Flat
126,8500000,7727.273,"Near Dashmesh Hospital, Jail Road, Shiv Nagar",New Delhi - West,north,28.6288025,77.0958556,1100.0,Under Construction,Resale,1,2,2,0,0,Furnished,Flat
127,4320000,5400.0,Sector 67,Gurgaon,west,28.38762,77.06237,800.0,Under Construction,Resale,0,2,2,0,0,Semi-Furnished,Flat
128,6709999,5686.441,"Vasundhara, Ghaziabad, Vasundhara",Ghaziabad,east,28.65493,77.350989,1180.0,Under Construction,Resale,1,2,2,2,2,Semi-Furnished,Flat
129,12820000,7902.069,"firstfloor, Sushant Lok 1 Block C",Gurgaon,west,28.45451736450196,77.08187103271484,1935.0,Under Construction,Resale,2,3,4,2,1,Semi-Furnished,Flat
130,12500000,6944.444,"Sec 30, Near N M C hospital, Noida, Ram Vihar",Noida,east,28.576661,77.339673,1800.0,Under Construction,Resale,1,3,3,2,0,Semi-Furnished,Flat
131,5000000,4166.667,"Unitech Unihomes, Tower A1, Sector-117, Noida, Sector 117",Noida,east,28.577634811401367,77.39510345458984,1200.0,Under Construction,Resale,0,3,2,3,0,Unfurnished,Flat
132,12000000,7902.069,"Lajpat Nagar, New Delhi, Lajpat Nagar 4",New Delhi - South,core,28.564363,77.24171,1250.0,Under Construction,Resale,2,2,2,2,0,Semi-Furnished,Flat
133,2700000,3506.494,"Plot Number 6 Flat number 101  Hans enclave Gurgaon, Hans Enclave",Gurgaon,west,28.497467041015625,77.027099609375,770.0,Under Construction,Resale,1,2,2,1,1,Semi-Furnished,Flat
134,11000000,7902.069,Vasundhara Enclave,New Delhi - East,east,28.6017251,77.3178069,1200.0,Under Construction,Resale,0,3,2,0,0,Furnished,Flat
135,12820000,5600.0,"Row House, Sector 21 Surya Vihar-",Gurgaon,west,28.51766395568848,77.07933044433594,2050.0,Under Construction,Resale,3,5,5,0,0,Furnished,Flat
136,7500000,4477.612,Sector 37D,Gurgaon,west,28.446568,76.968477,1675.0,Under Construction,Resale,0,3,3,0,0,Semi-Furnished,Flat
137,12000000,4761.905,"4a/301, Sector 85",Gurgaon,west,28.406684,76.952289,2050.0,Under Construction,Resale,0,4,3,3,0,Semi-Furnished,Flat
138,4100000,4100.0,"Noida-Greater Noida Expy, Sector 134, Noida, Uttar Pradesh, Sector 134",Noida,east,28.503955,77.384451,1000.0,Under Construction,Resale,2,2,2,2,2,Semi-Furnished,Flat
139,3790000,2893.13,"Wave Floor Sec- 2, Wave City N.H. - 24 Ghaziabad, Wave City",Ghaziabad,east,28.646836,77.508238,1310.0,Under Construction,New Property,1,2,3,2,0,Semi-Furnished,Flat
140,5200000,4882.629,"Indirapuram, Nyay Khand 1",Ghaziabad,east,28.63350296020508,77.43159484863281,1065.0,Under Construction,Resale,2,2,2,3,3,Semi-Furnished,Flat
141,12500000,6830.601,Sector 70A,Gurgaon,west,28.385432,77.017122,1830.0,Under Construction,Resale,1,3,3,3,2,Semi-Furnished,Flat
142,12820000,6701.94,Sector 48,Gurgaon,west,28.41492080688477,77.03590393066406,2050.0,Under Construction,New Property,0,3,3,2,0,Semi-Furnished,Flat
143,10500000,5766.063,"Sector 80, Gurgaon, Sector 80",Gurgaon,west,28.37561513,76.95761609,1821.0,Under Construction,Resale,0,3,3,3,0,Semi-Furnished,Individual House
144,4000000,3587.444,Yamuna Expressway,Greater Noida,east,28.309616,77.55859,1115.0,Under Construction,Resale,1,2,2,0,2,Semi-Furnished,Flat
145,3329999,4036.364,Sector 137,Noida,east,28.505584,77.410762,825.0,Under Construction,Resale,0,2,2,0,0,Semi-Furnished,Individual House
146,12820000,4857.143,"Niti Khand  1 Indirapuram Ghaziabad, Niti Khand-Indirapuram",Ghaziabad,east,28.63601493835449,77.43365478515625,2050.0,Under Construction,Resale,1,4,3,2,1,Semi-Furnished,Flat
147,3600000,4800.0,"Plot No.1, Gadaipur, Mehrauli-Mandi Road, Gadaipur",New Delhi - South,south,28.4826489,77.1600563,750.0,Under Construction,Resale,1,2,2,2,1,Semi-Furnished,Flat
148,4500000,3600.0,"sector 2, Rajendra Nagar",Ghaziabad,east,28.68176651000977,77.36365509033203,1250.0,Under Construction,New Property,0,3,2,1,0,Unfurnished,Flat
149,5500000,4000.0,"I block - 21069, Noida Extension",Noida,east,28.616204,77.422256,1375.0,Under Construction,Resale,0,3,3,3,0,Semi-Furnished,Flat
150,12820000,7902.069,Sector 60,Gurgaon,west,28.400064,77.0959513,2050.0,Under Construction,Resale,0,4,4,0,0,Semi-Furnished,Individual House
151,12820000,5000.0,Sector 42,Gurgaon,west,28.45846939086914,77.108642578125,2050.0,Under Construction,Resale,10,10,10,10,0,Unfurnished,Flat
152,5000000,3401.361,"NH 24, Ghaziabad, NH 24",Ghaziabad,east,28.663705,77.470854,1470.0,Under Construction,Resale,0,3,2,3,0,Semi-Furnished,Flat
153,12500000,3968.254,Sector 17,Faridabad,south,28.40966796875,77.33113861083984,2050.0,Under Construction,Resale,0,3,3,2,0,Semi-Furnished,Flat
154,7400000,4836.601,Vasundhara,Ghaziabad,east,28.655782,77.3527833,1530.0,Under Construction,Resale,1,3,2,3,0,Semi-Furnished,Flat
